city,country,weather_main,weather_description,temperature,temp_min,temp_max,feels_like,wind_speed,wind_direction,cloudiness,visibility,sunrise,sunset,time_stamp
Tangkak,MY,Clouds,broken clouds,32.84,31.6,32.93,39.83,1.98,172,65,10000,1727823378,1727866909,58:51.2
Kulai,MY,Thunderstorm,thunderstorm with light rain,27.95,27.78,30.88,32.44,5.36,190,40,10000,1727823115,1727866664,58:51.2
Iskandar Puteri,MY,Rain,light rain,29.39,27.99,30.86,33.39,3.01,148,94,10000,1727823103,1727866659,58:51.3
Kota Tinggi,MY,Rain,light rain,31,30.97,31.02,38,2.05,132,91,10000,1727823045,1727866592,08:51.9
Johor Bahru,MY,Rain,light rain,30.93,30.9,30.95,36.26,4.12,130,75,10000,1727823075,1727866630,08:52.0
Muar town,MY,Clouds,broken clouds,31.69,31.69,31.69,37.55,2.6,156,55,10000,1727823369,1727866907,08:52.1
Batu Pahat,MY,Rain,light rain,29.63,29.63,29.63,34.15,3.2,138,84,10000,1727823279,1727866822,08:52.1
Segamat,MY,Rain,light rain,29.4,29.4,29.4,34.7,1.77,141,72,10000,1727823317,1727866840,08:52.1
Larkin,MY,Rain,light rain,30.82,30.79,30.84,36,4.12,130,75,10000,1727823080,1727866634,08:52.2
Ayer Hitam,MY,Rain,moderate rain,28.61,28.61,28.61,33.68,2.15,137,90,10000,1727823220,1727866761,08:52.2
Kluang,MY,Rain,moderate rain,28.19,28.19,28.19,33.26,1.78,140,92,5992,1727823186,1727866724,08:52.2
Mersing,MY,Rain,light rain,28.49,28.49,28.49,32.99,3.58,137,93,10000,1727823070,1727866596,08:52.3
Tangkak,MY,Clouds,broken clouds,31.6,31.6,31.6,36.73,1.98,172,65,10000,1727823378,1727866909,08:52.4
Kulai,MY,Rain,light rain,32.6,30.88,32.72,39.6,2.25,149,90,10000,1727823115,1727866664,08:52.4
Iskandar Puteri,MY,Rain,light rain,30.86,30.82,30.88,36.93,3.01,148,94,10000,1727823103,1727866659,08:52.4
Kota Tinggi,MY,Rain,light rain,31,30.97,31.02,38,2.05,132,91,10000,1727823045,1727866592,18:53.0
Johor Bahru,MY,Rain,light rain,30.93,30.9,30.95,36.26,4.12,130,75,10000,1727823075,1727866630,18:53.0
Muar town,MY,Clouds,broken clouds,31.69,31.69,32.02,37.55,2.6,156,55,10000,1727823369,1727866907,18:53.0
Batu Pahat,MY,Rain,light rain,29.63,29.63,29.63,34.15,3.2,138,84,10000,1727823279,1727866822,18:53.1
Segamat,MY,Rain,light rain,29.4,29.4,29.4,34.7,1.77,141,72,10000,1727823317,1727866840,18:53.1
Larkin,MY,Rain,light rain,30.82,30.79,30.84,36,4.12,130,75,10000,1727823080,1727866634,18:53.1
Ayer Hitam,MY,Rain,moderate rain,28.61,28.61,28.61,33.68,2.15,137,90,10000,1727823220,1727866761,18:53.2
Kluang,MY,Rain,moderate rain,28.19,28.19,28.19,33.26,1.78,140,92,5992,1727823186,1727866724,18:53.2
Mersing,MY,Rain,light rain,30.95,30.95,30.95,37.46,7.72,120,40,10000,1727823070,1727866596,18:53.3
Tangkak,MY,Clouds,broken clouds,31.93,31.6,31.93,37.52,1.98,172,65,10000,1727823378,1727866909,18:53.3
Kulai,MY,Rain,light rain,30.88,30.88,30.9,37.88,2.25,149,90,10000,1727823115,1727866664,18:53.3
Iskandar Puteri,MY,Rain,light rain,30.86,30.82,30.88,36.93,3.01,148,94,10000,1727823103,1727866659,18:53.4
Kota Tinggi,MY,Rain,light rain,31,30.97,31.02,38,2.05,132,91,10000,1727823045,1727866592,28:54.0
Johor Bahru,MY,Rain,light rain,30.93,30.9,30.95,36.26,4.12,130,75,10000,1727823075,1727866630,28:54.1
Muar town,MY,Clouds,broken clouds,31.13,31.13,32.02,36.19,2.6,156,55,10000,1727823369,1727866907,28:54.1
Batu Pahat,MY,Rain,light rain,29.63,29.63,29.63,34.15,3.2,138,84,10000,1727823279,1727866822,28:54.1
Segamat,MY,Rain,light rain,29.4,29.4,29.4,34.7,1.77,141,72,10000,1727823317,1727866840,28:54.2
Larkin,MY,Rain,light rain,30.82,30.79,30.84,36,4.12,130,75,10000,1727823080,1727866634,28:54.4
Ayer Hitam,MY,Rain,moderate rain,28.61,28.61,28.61,33.68,2.15,137,90,10000,1727823220,1727866761,28:54.4
Kluang,MY,Rain,moderate rain,28.19,28.19,28.19,33.26,1.78,140,92,5992,1727823186,1727866724,28:54.5
Mersing,MY,Rain,light rain,30.95,30.95,30.95,37.46,7.72,120,40,10000,1727823070,1727866596,28:54.5
Tangkak,MY,Clouds,broken clouds,31.93,31.04,31.93,37.52,1.98,172,65,10000,1727823378,1727866909,28:54.5
Kulai,MY,Rain,light rain,30.88,30.88,30.9,37.88,2.25,149,90,10000,1727823115,1727866664,28:54.6
Iskandar Puteri,MY,Rain,light rain,30.86,30.82,30.88,36.93,3.01,148,94,10000,1727823103,1727866659,28:54.6
Kota Tinggi,MY,Rain,light rain,29.33,29.01,31.02,36.33,1.91,113,84,10000,1727823045,1727866592,38:55.1
Johor Bahru,MY,Rain,light rain,30.33,28.94,30.95,36.12,4.12,130,75,10000,1727823075,1727866630,38:55.2
Muar town,MY,Clouds,broken clouds,31.14,31.13,32.02,38.14,3.4,151,63,10000,1727823369,1727866907,38:55.2
Batu Pahat,MY,Rain,light rain,28.16,28.16,28.16,32.34,3.31,133,88,10000,1727823279,1727866822,38:55.3
Segamat,MY,Rain,light rain,28.44,28.44,28.44,33.41,2.09,141,79,10000,1727823317,1727866840,38:55.3
Larkin,MY,Rain,light rain,29.65,28.83,30.84,35.36,4.12,130,75,10000,1727823080,1727866634,38:55.3
Ayer Hitam,MY,Rain,moderate rain,27.17,27.17,27.17,30.77,2.04,133,93,10000,1727823220,1727866761,38:55.4
Kluang,MY,Rain,moderate rain,26.87,26.87,26.87,30.27,1.76,131,94,8494,1727823186,1727866724,38:55.4
Mersing,MY,Rain,light rain,30.95,30.95,30.95,37.46,7.72,120,40,10000,1727823070,1727866596,38:55.5
Tangkak,MY,Rain,light rain,31.79,31.04,31.93,38.79,1.88,170,67,10000,1727823378,1727866909,38:55.5
Kulai,MY,Rain,light rain,28.99,28.89,30.9,34.5,1.54,270,20,10000,1727823115,1727866664,38:55.5
Iskandar Puteri,MY,Rain,light rain,29.57,28.87,30.88,34.68,3.17,142,94,10000,1727823103,1727866659,38:55.6
Kota Tinggi,MY,Rain,light rain,29.33,29.01,31.02,36.33,1.91,113,84,10000,1727823045,1727866592,48:56.1
Johor Bahru,MY,Rain,light rain,30.33,28.94,30.95,36.12,4.12,130,75,10000,1727823075,1727866630,48:56.1
Muar town,MY,Clouds,broken clouds,31.14,31.13,32.02,38.14,3.4,151,63,10000,1727823369,1727866907,48:56.1
Batu Pahat,MY,Rain,light rain,28.16,28.16,28.16,32.34,3.31,133,88,10000,1727823279,1727866822,48:56.2
Segamat,MY,Rain,light rain,28.44,28.44,28.44,33.41,2.09,141,79,10000,1727823317,1727866840,48:56.2
Larkin,MY,Rain,light rain,29.65,28.83,30.84,35.36,4.12,130,75,10000,1727823080,1727866634,48:56.2
Ayer Hitam,MY,Rain,moderate rain,27.17,27.17,27.17,30.77,2.04,133,93,10000,1727823220,1727866761,48:56.3
Kluang,MY,Rain,moderate rain,26.87,26.87,26.87,30.27,1.76,131,94,8494,1727823186,1727866724,48:56.3
Mersing,MY,Rain,light rain,30.95,30.95,30.95,37.46,7.72,120,40,10000,1727823070,1727866596,48:56.3
Tangkak,MY,Rain,light rain,31.79,31.04,31.93,38.79,1.88,170,67,10000,1727823378,1727866909,48:56.4
Kulai,MY,Rain,light rain,28.99,28.89,30.9,34.5,1.54,270,20,10000,1727823115,1727866664,48:56.4
Iskandar Puteri,MY,Rain,light rain,29.57,28.87,30.88,34.68,3.17,142,94,10000,1727823103,1727866659,48:56.5
Kota Tinggi,MY,Rain,light rain,29.33,29.01,31.02,36.33,1.91,113,84,10000,1727823045,1727866592,58:57.0
Johor Bahru,MY,Rain,light rain,30.33,28.94,30.95,36.12,4.12,130,75,10000,1727823075,1727866630,58:57.0
Muar town,MY,Clouds,broken clouds,31.14,31.13,32.02,38.14,3.4,151,63,10000,1727823369,1727866907,58:57.0
Batu Pahat,MY,Rain,light rain,28.16,28.16,28.16,32.34,3.31,133,88,10000,1727823279,1727866822,58:57.1
Segamat,MY,Rain,light rain,28.44,28.44,28.44,33.41,2.09,141,79,10000,1727823317,1727866840,58:57.1
Larkin,MY,Rain,light rain,29.65,28.83,30.84,35.36,4.12,130,75,10000,1727823080,1727866634,58:57.2
Ayer Hitam,MY,Rain,moderate rain,27.17,27.17,27.17,30.77,2.04,133,93,10000,1727823220,1727866761,58:57.2
Kluang,MY,Rain,moderate rain,26.87,26.87,26.87,30.27,1.76,131,94,8494,1727823186,1727866724,58:57.2
Mersing,MY,Rain,light rain,30.95,30.95,30.95,37.46,7.72,120,40,10000,1727823070,1727866596,58:57.3
Tangkak,MY,Rain,light rain,31.79,31.04,31.93,38.79,1.88,170,67,10000,1727823378,1727866909,58:57.3
Kulai,MY,Rain,light rain,28.99,28.89,30.9,34.5,1.54,270,20,10000,1727823115,1727866664,58:57.3
Iskandar Puteri,MY,Rain,light rain,29.57,28.87,30.88,34.68,3.17,142,94,10000,1727823103,1727866659,58:57.4
Kota Tinggi,MY,Rain,light rain,29.93,28.97,30,36.93,1.91,113,84,10000,1727823045,1727866592,08:57.8
Johor Bahru,MY,Rain,light rain,29.7,28.9,29.93,35.25,4.12,140,75,10000,1727823075,1727866630,08:57.8
Muar town,MY,Clouds,broken clouds,31.13,31.13,31.13,38.13,3.4,151,63,10000,1727823369,1727866907,08:57.8
Batu Pahat,MY,Rain,light rain,28.16,28.16,28.16,32.34,3.31,133,88,10000,1727823279,1727866822,08:57.9
Segamat,MY,Rain,light rain,28.44,28.44,28.44,33.41,2.09,141,79,10000,1727823317,1727866840,08:57.9
Larkin,MY,Rain,light rain,29.6,28.79,29.82,34.99,4.12,140,75,10000,1727823080,1727866634,08:57.9
Ayer Hitam,MY,Rain,moderate rain,27.17,27.17,27.17,30.77,2.04,133,93,10000,1727823220,1727866761,08:58.0
Kluang,MY,Rain,moderate rain,26.87,26.87,26.87,30.27,1.76,131,94,8494,1727823186,1727866724,08:58.1
Mersing,MY,Rain,light rain,27.94,27.94,27.94,32.25,3.48,138,93,10000,1727823070,1727866596,08:58.2
Tangkak,MY,Rain,light rain,31.04,31.04,31.04,38.04,1.88,170,67,10000,1727823378,1727866909,08:58.3
Kulai,MY,Rain,light rain,29.88,28.9,29.88,36.88,1.93,134,91,10000,1727823115,1727866664,08:58.3
Iskandar Puteri,MY,Rain,light rain,29.58,28.82,29.86,34.71,3.17,142,94,10000,1727823103,1727866659,08:58.4
Kota Tinggi,MY,Rain,light rain,30.09,28.97,30.13,37.09,1.91,113,84,10000,1727823045,1727866592,18:58.9
Johor Bahru,MY,Rain,light rain,29.75,28.9,30.06,35.38,4.12,140,75,10000,1727823075,1727866630,18:58.9
Muar town,MY,Clouds,broken clouds,31.13,31.02,31.13,38.13,3.4,151,63,10000,1727823369,1727866907,18:58.9
Batu Pahat,MY,Rain,light rain,28.16,28.16,28.16,32.34,3.31,133,88,10000,1727823279,1727866822,18:59.0
Segamat,MY,Rain,light rain,28.44,28.44,28.44,33.41,2.09,141,79,10000,1727823317,1727866840,18:59.0
Larkin,MY,Rain,light rain,29.74,28.79,29.95,35.85,4.12,140,75,10000,1727823080,1727866634,18:59.1
Ayer Hitam,MY,Rain,moderate rain,27.17,27.17,27.17,30.77,2.04,133,93,10000,1727823220,1727866761,18:59.1
Kluang,MY,Rain,moderate rain,26.87,26.87,26.87,30.27,1.76,131,94,8494,1727823186,1727866724,18:59.2
Mersing,MY,Rain,light rain,29.95,29.95,29.95,36.95,6.17,120,40,10000,1727823070,1727866596,18:59.2
Tangkak,MY,Rain,light rain,30.93,30.93,31.04,37.93,1.88,170,67,10000,1727823378,1727866909,18:59.3
Kulai,MY,Rain,light rain,30,28.9,30.01,37,1.03,0,20,10000,1727823115,1727866664,18:59.3
Iskandar Puteri,MY,Rain,light rain,29.77,28.82,29.99,35.19,3.17,142,94,10000,1727823103,1727866659,18:59.4
Kota Tinggi,MY,Rain,light rain,30.09,28.97,30.13,37.09,1.91,113,84,10000,1727823045,1727866592,28:59.9
Johor Bahru,MY,Rain,light rain,29.75,28.9,30.06,35.38,4.12,140,75,10000,1727823075,1727866630,29:00.0
Muar town,MY,Clouds,broken clouds,31.13,31.02,31.13,38.13,3.4,151,63,10000,1727823369,1727866907,29:00.0
Batu Pahat,MY,Rain,light rain,28.16,28.16,28.16,32.34,3.31,133,88,10000,1727823279,1727866822,29:00.1
Segamat,MY,Rain,light rain,28.44,28.44,28.44,33.41,2.09,141,79,10000,1727823317,1727866840,29:00.1
Larkin,MY,Rain,light rain,29.74,28.79,29.95,35.85,4.12,140,75,10000,1727823080,1727866634,29:00.2
Ayer Hitam,MY,Rain,moderate rain,27.17,27.17,27.17,30.77,2.04,133,93,10000,1727823220,1727866761,29:00.2
Kluang,MY,Rain,moderate rain,26.87,26.87,26.87,30.27,1.76,131,94,8494,1727823186,1727866724,29:00.3
Mersing,MY,Rain,light rain,29.95,29.95,29.95,36.95,6.17,120,40,10000,1727823070,1727866596,29:00.3
Tangkak,MY,Rain,light rain,30.93,30.49,30.93,37.93,1.88,170,67,10000,1727823378,1727866909,29:00.4
Kulai,MY,Rain,light rain,30,28.9,30.01,37,1.03,0,20,10000,1727823115,1727866664,29:00.4
Iskandar Puteri,MY,Rain,light rain,29.77,28.82,29.99,35.19,3.17,142,94,10000,1727823103,1727866659,29:00.5
Kota Tinggi,MY,Rain,light rain,30.1,29.02,30.13,37.1,1.86,115,84,10000,1727823045,1727866592,39:01.0
Johor Bahru,MY,Clouds,broken clouds,29.81,28.95,30.06,36.04,4.12,140,75,10000,1727823075,1727866630,39:01.0
Muar town,MY,Clouds,broken clouds,30.58,30.57,31.02,37.58,3.99,137,71,10000,1727823369,1727866907,39:01.0
Batu Pahat,MY,Rain,light rain,27.16,27.16,27.16,30.41,3.12,127,90,10000,1727823279,1727866822,39:01.1
Segamat,MY,Rain,light rain,26.48,26.48,26.48,26.48,2.05,142,83,10000,1727823317,1727866840,39:01.1
Larkin,MY,Clouds,broken clouds,29.81,28.84,29.95,36.29,4.12,140,75,10000,1727823080,1727866634,39:01.3
Ayer Hitam,MY,Rain,light rain,25.84,25.84,25.84,26.8,1.86,134,94,10000,1727823220,1727866761,39:01.4
Kluang,MY,Rain,moderate rain,25.46,25.46,25.46,26.44,1.76,129,95,10000,1727823186,1727866724,39:01.4
Mersing,MY,Rain,moderate rain,29.95,29.95,29.95,36.95,6.17,120,40,10000,1727823070,1727866596,39:01.5
Tangkak,MY,Rain,light rain,30.75,30.48,30.93,37.75,1.78,157,73,10000,1727823378,1727866909,39:01.5
Kulai,MY,Rain,light rain,30,28.9,30.01,37,1.03,0,20,10000,1727823115,1727866664,39:01.7
Iskandar Puteri,MY,Rain,light rain,29.85,28.88,29.99,36.67,3.18,130,94,10000,1727823103,1727866659,39:01.9
Kota Tinggi,MY,Rain,light rain,30.1,29.02,30.13,37.1,1.86,115,84,10000,1727823045,1727866592,49:02.3
Johor Bahru,MY,Clouds,broken clouds,29.81,28.95,30.06,36.04,4.12,140,75,10000,1727823075,1727866630,49:02.4
Muar town,MY,Clouds,broken clouds,30.58,30.57,31.02,37.58,3.99,137,71,10000,1727823369,1727866907,49:02.4
Batu Pahat,MY,Rain,light rain,27.16,27.16,27.16,30.41,3.12,127,90,10000,1727823279,1727866822,49:02.4
Segamat,MY,Rain,light rain,26.48,26.48,26.48,26.48,2.05,142,83,10000,1727823317,1727866840,49:02.5
Larkin,MY,Clouds,broken clouds,29.81,28.84,29.95,36.29,4.12,140,75,10000,1727823080,1727866634,49:02.5
Ayer Hitam,MY,Rain,light rain,25.84,25.84,25.84,26.8,1.86,134,94,10000,1727823220,1727866761,49:02.6
Kluang,MY,Rain,moderate rain,25.46,25.46,25.46,26.44,1.76,129,95,10000,1727823186,1727866724,49:02.6
Mersing,MY,Rain,moderate rain,29.95,29.95,29.95,36.95,6.17,120,40,10000,1727823070,1727866596,49:02.6
Tangkak,MY,Rain,light rain,30.75,30.48,30.93,37.75,1.78,157,73,10000,1727823378,1727866909,49:02.7
Kulai,MY,Rain,light rain,30,28.9,30.01,37,1.03,0,20,10000,1727823115,1727866664,49:02.7
Iskandar Puteri,MY,Rain,light rain,29.85,28.88,29.99,36.67,3.18,130,94,10000,1727823103,1727866659,49:02.7
Kota Tinggi,MY,Rain,light rain,30.1,29.02,30.13,37.1,1.86,115,84,10000,1727823045,1727866592,59:03.2
Johor Bahru,MY,Clouds,broken clouds,29.81,28.95,30.06,36.04,4.12,140,75,10000,1727823075,1727866630,59:03.2
Muar town,MY,Clouds,broken clouds,30.58,30.57,31.02,37.58,3.99,137,71,10000,1727823369,1727866907,59:03.3
Batu Pahat,MY,Rain,light rain,27.16,27.16,27.16,30.41,3.12,127,90,10000,1727823279,1727866822,59:03.3
Segamat,MY,Rain,light rain,26.48,26.48,26.48,26.48,2.05,142,83,10000,1727823317,1727866840,59:03.3
Larkin,MY,Clouds,broken clouds,29.81,28.84,29.95,36.29,4.12,140,75,10000,1727823080,1727866634,59:03.4
Ayer Hitam,MY,Rain,light rain,25.84,25.84,25.84,26.8,1.86,134,94,10000,1727823220,1727866761,59:03.5
Kluang,MY,Rain,moderate rain,25.46,25.46,25.46,26.44,1.76,129,95,10000,1727823186,1727866724,59:03.5
Mersing,MY,Rain,moderate rain,29.95,29.95,29.95,36.95,6.17,120,40,10000,1727823070,1727866596,59:03.5
Tangkak,MY,Rain,light rain,30.75,30.48,30.93,37.75,1.78,157,73,10000,1727823378,1727866909,59:03.6
Kulai,MY,Rain,light rain,30,28.9,30.01,37,1.03,0,20,10000,1727823115,1727866664,59:03.6
Iskandar Puteri,MY,Rain,light rain,29.85,28.88,29.99,36.67,3.18,130,94,10000,1727823103,1727866659,59:03.7
